Name,Description,Website,Theme,Focus-Area,Opportunity-Space,Founded,Headcount,Country,Location,Funded,Funding-Date,Funding-Stage,Total-Funding-(USD),Maturity,Inc.-Compass,Hero,INGKA-Relationship
Mintifi,"Online marketplace for business loans. It offers multiple business loans including working capital loans, invoice discounting, term loans, and more. It charges interest on the funds utilized. It also offers an app-based platform for SMEs to manage the funds effectively. The application is available on the Android platform.",https://www.mintifi.com,Finance,Financing,Easing cash-flow financing for businesses,2017,0,India,Mumbai,Yes,"Tuesday, 8 February 2022",Series C,59.946.780,Not Complete,TRUE,FALSE,
dv01,"DV01 is an analytics firm that evaluates loans listed on P2P lending platforms. It helps institutional investors decide which consumer loans to finance through marketplace lenders. It improves workflows and facilitates transactions for institutional investors, banks, and lenders. It allows users to review loan performance, both at the pool and individual level. Its streamlined user interface makes it easy to execute complex queries to quickly identify a specific pool or subset of loans by origination attributes and returns.",http://gifsmicrofinance.com,Finance,Financing,Joining the growth journey of the many,2014,0,United States,New York City,Yes,"Tuesday, 12 January 2021",Series B,41.000.000,Not Complete,FALSE,FALSE,
Level Goals,Online credit line platform for businesses. Enables businesses to access funding based on the earnings with repayments tied to the income. Funds are received via ACH or PayPal.,https://urc-nazinon.bf,Finance,Financing,Joining the growth journey of the many,2019,0,United States,Seattle,Yes,"Monday, 13 December 2021",Series A,8.620.000,Not Complete,FALSE,FALSE,
Liquidity,"Online platform for business loans and underwriting solutions. It offers loans for e-commerce, SaaS, and multiple businesses with various interest rates, terms, and repayment options. It also provides artificial intelligence-based credit analysis and loan underwriting solutions for businesses.",https://www.liquiditygroup.com/resource-funding/startup-business-loans,Finance,Financing,Easing cash-flow financing for businesses,2017,0,Israel,Bnei Brak,Yes,"Tuesday, 5 April 2022",Series C,50.000.000,Not Complete,TRUE,FALSE,
Livfin,"Online platform for business loans. It offers multiple loan products to small and medium-sized businesses including working capital loans, invoice financing, business credit lines, and more. It also features a guarantee scheme for businesses. Users must add the required details and apply for the loan. Once approved, the funds are transferred to the registered bank account. It also offers a cloud-based solution that enables businesses to monitor loans and invoice status.",https://livfin.com/,Finance,Financing,Joining the growth journey of the many,2017,,India,Gurgaon,Yes,"Thursday, 6 January 2022",Series C,80.714.698,Not Complete,FALSE,FALSE,
re:cap,"Online platform for revenue-based financing. It enables subscription-based businesses to obtain loans based on future recurring revenues. Users can obtain loans based on customized terms, amounts, and repayment options. Businesses must add the required details and connect the accounting and ERP systems to the platform. Once approved, the funds are transferred to the registered bank account.",http://www.alkhairsociety.com/alkweb/,Finance,Financing,Joining the growth journey of the many,2021,0,Germany,Berlin,Yes,"Monday, 11 April 2022",Seed,27.768.000,Not Complete,FALSE,FALSE,
Silvr,"Online lending platform providing financing solution for e-commerce businesses. Businesses can connect e-commerce platform on the website and select the funding amount required for ads campaigns & marketing, and upon approval, the loan amount gets disbursed in the linked business account. Repayment of loans can be done after the products are sold to the customers.",http://diremicrofinance.com,Finance,Financing,Joining the growth journey of the many,2019,0,France,Paris,Yes,"Tuesday, 8 February 2022",Series A,24.164.580,Not Complete,FALSE,FALSE,
Finitive,"Online marketplace for business loans. It enables institutional investors to invest in alternative lending products. Investors can invest in warehouse lines, forward flow, and whole loan purchase agreements, term loans, participation, funds, and equity. It enables businesses to acquire multiple loan products for development and more.",https://gdfpl.com,Finance,Financing,Joining the growth journey of the many,2017,0,United States,New York City,Yes,"Wednesday, 19 May 2021",Series A,6.000.000,Not Complete,FALSE,FALSE,
Mansa,"Online marketplace for self-employed and freelancers. It provides access to short-term business loans to maintain cash flow by connecting with multiple lending partners. Users need to apply for loans via its online lending platform followed by an eligibility test, and upon credit assessment, it connects borrowers with multiple lending options to provide financing solutions.",https://getmansa.com,Finance,Financing,Easing cash-flow financing for businesses,2019,0,France,Paris,Yes,"Monday, 1 March 2021",Series A,9.433.030,Not Complete,TRUE,TRUE,
Crowdo,"Equity crowdfunding for business loans. P2P marketplace for business loans. It allows equity crowdfunding for business loans. It also helps businesses in the building and managing a fully branded crowdsourcing platform. It offers business credit lines, supply chain financing, and more.",https://www.eskala.org/,Finance,Financing,Joining the growth journey of the many,2012,0,Singapore,Singapore,Yes,"Tuesday, 11 January 2022",Series A,0,Not Complete,FALSE,FALSE,
Nenglian Zhonghe Technology,"Online marketplace for green asset financing. It allows businesses to finance solar energy panels. Its features include asset registration, asset financing, and asset circulation solutions. It uses blockchain technology and the Internet of Things for distributed asset financing.",0,Finance,Financing,Joining the growth journey of the many,2016,0,China,Shanghai,Yes,"Monday, 24 May 2021",Series A,0,Not Complete,TRUE,FALSE,
MeraEMI,Online marketplace for personal loans. It enables users to obtain personal loans by connecting with a lender via social media platforms. It provides a loan portfolio tracker which syncs the EMI alerts and provides templates of financial statements based on the user's current loan schedule. The application is available for Android devices.,https://meraemi.com,Finance,Financing,Other,2017,0,India,Mumbai,Yes,"Wednesday, 28 July 2021",Seed,139.667,Not Complete,TRUE,FALSE,
Chisos,"Online platform for income share funding. It is built for early-stage entrepreneurs and has a unique investment approach that puts the founders' power. It looks for ideas, founders, and companies with potential and an actionable plan. When it finds them, it connects them with the capital. Chisos provides a Convertible Income Sharing Agreement consisting of two parts income share agreement with founders and a Percentage of equity in founders' business.",https://www.chisos.io/,Finance,Financing,Joining the growth journey of the many,2019,,United States,Santa Monica,Yes,"Monday, 17 May 2021",Seed,476.204,Not Complete,FALSE,FALSE,
Abaco,"Online marketplace for microcredits for entrepreneurs. It enables entrepreneurs to access loans for equipment, personal tools, and more. Loans are provided on the basis of credit scores and revenue generated.",0,Finance,Financing,Easing cash-flow financing for businesses,2017,0,Spain,Oviedo,Yes,"Thursday, 14 January 2021",Seed,0,Not Complete,FALSE,FALSE,
Krednote,"Online platform for point of sale financing. It is a direct lender offering buy now pay later options to businesses with customized repayment options, loan amounts, and terms. Businesses must add the required details and apply for the loan. Once approved, the funds are transferred to the seller and the product is delivered to the user.",0,Finance,Financing,Easing cash-flow financing for businesses,2021,0,India,Kolkata,Yes,"Thursday, 10 February 2022",Seed,150,Not Complete,FALSE,FALSE,
Pico,"Pico provides Tools for publishers to manage their email newsletters. The company providing website based widgets to engage visitors such as newsletter, e-commerce, subscription, memberships, and donations. The pricing model is based on monthly usage.",https://trypico.com,Support Services,Expertise & Community,Other,2019,0,United States,Brooklyn,Yes,"Monday, 4 January 2021",Series A,11.059.992,Not Complete,TRUE,TRUE,
Zyper,"Zyper provides community management solution for brands. It enables brands to create communities of customers who are its brand advocates. It uses natural language processing to identify peer to peer influence networks and find leads. Allows businesses to manage campaigns via a dashboard, view real-time reporting on fan's progress, create content and send personalized ads to the customers. Its app is available in Apple App Store and Google Play Store. Clientele includes 31 Dover, Bloom and Wild, Botanics, Godiva and others.",http://zyper.com,Support Services,Expertise & Community,Connecting people with shared interests and expertise,2017,0,United Kingdom,London,Yes,"Thursday, 6 June 2019",Series A,8.500.000,Not Complete,FALSE,FALSE,
Fanhouse,Interest-based social platform offering rewards. The platform allows content creators to connect with their fans and followers. The creators can monetize their content on the platform through subscription charges. It monetizes through commissions on the subscriptions received by content creators.,https://fanhouse.app,Support Services,Expertise & Community,Providing a platform for the many entrepreneurs,2020,0,United States,New York City,Yes,"Monday, 13 December 2021",Series A,34.267.051,Not Complete,FALSE,TRUE,
Zephr,"Online platform for subscription management. Its platform allows publishers to offer personalised subscriptions to their customers. Its platform features include an intelligent paywall, identity and access management, user-specific personalisation, corporate subscription management and others.",https://www.zephr.com/,Support Services,Expertise & Community,Connecting people with shared interests and expertise,2017,51,United Kingdom,London,Yes,"Thursday, 3 December 2020",Series A,11.000.000,Not Complete,FALSE,FALSE,
Zapnito,"Zapnito provides knowledge sharing platform for organizations enable them to share, promote, and monetize collective expertise. The platform brings audience and customers together for deep engagement, facilitate expert-led discussions, provides online training, and knowledge networking. Its clients include J.P.Morgan, Informa, Mc Graw Hill, IET, and more.",https://zapnito.com,Support Services,Expertise & Community,Enabling the ownership economy for SMEs,2014,0,United Kingdom,London,Yes,"Wednesday, 9 June 2021",Series A,5.221.221,Not Complete,FALSE,TRUE,
Tribe,"Cloud-based community marketing platform. The features of the product include community visualization, API integration, brand customization, and navigation, drive engagement with leaderboard through gamification, performance analytics, and metrics tracking, content categorization, integrations, etc.",https://tribe.so,Support Services,Expertise & Community,Connecting people with shared interests and expertise,2018,0,Canada,Toronto,Yes,"Sunday, 1 November 2020",Seed,7.500.000,Not Complete,FALSE,FALSE,
Buy Me A Coffee,"Buy Me A Coffee provides solutions for content monetization. It allows creators and artist to accept one-off support and membership from their fans. Artist can also provide gifts to their fans such as zoom event ticket, art commissions, 1-1 consultation, ebook, and Instagram close friend access.",https://www.buymeacoffee.com/,Support Services,Expertise & Community,Providing a platform for the many entrepreneurs,2018,0,United States,San Francisco,Yes,"Wednesday, 1 May 2019",Seed,150,Not Complete,FALSE,FALSE,
Circle,"White label community platform provider. Users can create a platform, engage fans and offer memberships to clients. It helps brands to give customers the space to share ideas with each other. The company allows users to integrate the platform into their website. It has clients such as SPI, Makerpad, etc.",https://circle.so,Support Services,Expertise & Community,Connecting people with shared interests and expertise,2019,0,United States,New York City,Yes,"Tuesday, 7 December 2021",Series A,31.800.000,Not Complete,FALSE,TRUE,
Norby,"Provider of the community marketing software. It provides a platform that offers a toolkit for building brand, community and audience for content creators and brands. The platform also engages the community and builds relationships with the followers by providing SMS marketing campaigns and email newsletters.",https://www.norby.live/,Support Services,Expertise & Community,Other,2020,0,United States,Brooklyn,Yes,"Tuesday, 12 April 2022",Seed,8.400.000,Not Complete,TRUE,FALSE,
Habitate,"Habitate is a cloud based community management platform. It enables brands to manage their online communities and online discussion. It helps to improve brand awareness, acquire customers, collect user feedback, connect all types of customers, and retain customers.",https://www.habitate.io/,Support Services,Expertise & Community,Connecting people with shared interests and expertise,2019,0,India,Chennai,Yes,"Friday, 21 May 2021",Seed,189.902,Not Complete,FALSE,FALSE,
haaartland,"Haaartland is an AI-based community marketing solutions provider. The product offered by the company is a platform that uses AI to organize and understand topics in the community. The features of the product include collaboration, etc.",https://www.haaartland.com/,Support Services,Expertise & Community,Connecting people with shared interests and expertise,2014,0,Sweden,Stockholm,Yes,"Monday, 26 January 2015",Seed,30.87,Not Complete,FALSE,FALSE,
BuzzCast,"Virtual event management platform provider. It provides tools to manage virtual and hybrid events through its platform for event organizers. It allows users to manage capacity scalability, white labeling, quality streaming, ticketing system management, and etc. It also allows users to create an immersive exhibit hall, featuring multiple booth types, networking lounges, and collaborative ideation sessions.",https://buzzcast.com,Support Services,Expertise & Community,Providing a platform for the many entrepreneurs,2020,0,United States,Los Angeles,Yes,"Friday, 11 March 2022",Seed,5.412.999,Not Complete,TRUE,FALSE,
Welcome,"Cloud-based virtual event management software provider. Features include studio broadcasting, green rooms, audience invitation management, pre-recorded & live content management, user experience management, third-party production tools, virtual photobooths, event branding, networking, and audience interaction management. It also allows adjusting levels, knobs, and switches.",https://www.experiencewelcome.com/,Support Services,Expertise & Community,Other,2020,0,United States,Walnut,Yes,"Wednesday, 18 November 2020",Series A,12.000.000,Not Complete,FALSE,TRUE,
Luma,"Cloud-based online event management software provider. Features include event page management, ticket sales management, tips management, attendance management, analytics management, event calendar management, and event schedule. The company has news mentions on TechCrunch, Mashable, Newsweek, and ZoomTopia.",https://lu.ma,Support Services,Expertise & Community,Other,2017,0,0,0,Yes,"Monday, 7 December 2020",Seed,3.000.000,Not Complete,TRUE,TRUE,
CogX,"CogX is a cloud-based virtual event management software provider. It offers features such as talent management, events management, big data analytics, market intelligence management, talent services, customer insights, editorial calendar management, and market research.",http://cogx.co,Support Services,Expertise & Community,Other,2015,0,United Kingdom,London,Yes,"Wednesday, 31 October 2018",Seed,1.100.000,Not Complete,FALSE,FALSE,
Gebeya,"Pre-assessed tech talent sourcing platform. It provides tech training to coders in Africa and helps them get work from enterprises. Candidates who have completed their training with Gebeya can register on the platform for work, candidates not from Gebeya's training schedule appear for specific assessments and interviews to be included in their database. Their hiring platform for companies is in Beta as of November 2016.",https://gebeya.com,Support Services,Expertise & Community,Other,2016,0,Ethiopia,Addis Ababa,Yes,"Monday, 5 October 2020",Seed,2.000.000,Not Complete,TRUE,FALSE,
Turing,"Cloud-based platform for hiring remote workers. The platform allows employers to search and connect with candidates for job vacancies. It enables candidates to search for jobs. Also allows employers to post full-time, part-time, and hourly jobs. Caters to software engineers.",https://www.turing.com/,Support Services,Expertise & Community,Other,2018,0,United States,Palo Alto,Yes,"Monday, 20 December 2021",Series D,140.000.000,Not Complete,FALSE,TRUE,
Graphite,"On-demand staffing platform provider. The solutions include growth management, communications strategy, data analytics, visualization, executive program leadership, and more. Monetizes through subscription-based plans.",https://www.graphite.com/,Support Services,Expertise & Community,Other,2014,0,United States,San Francisco,Yes,"Thursday, 12 August 2021",Series A,0,Not Complete,TRUE,FALSE,
SmartWorks,"Provider of shared co-working space. It offers desk, conference rooms and meeting rooms on an hourly basis. Companies can also take virtual membership offering reception and virtual addresses. Features include dedicated reception, gofer, legal, IT, and secretarial support, video conference, etc.",https://www.smartworksoffice.com/,Support Services,Expertise & Community,Providing physical spaces for working and selling,2016,46,India,Delhi,Yes,"Friday, 25 October 2019",Series C,43.745.070,Not Complete,TRUE,FALSE,
Mindspace,"Provider of managed co-working spaces. The platform enables users to find personalized and managed co-working spaces. Also, landlords can host/share the property for clients and claim to get earn from it.",https://www.mindspace.me/,Support Services,Expertise & Community,Providing physical spaces for working and selling,2013,0,Israel,Tel Aviv,Yes,"Wednesday, 24 November 2021",Series C,107.000.000,Not Complete,FALSE,TRUE,
91Springboard,"Provider of managed co-working spaces for freelancer, and business professionals. The company offers shared working spaces, dedicated desks, private offices, and more. Some of the amenities provided by the company include WiFi, scanner/printers, gaming zone, recreational area, event spaces, private lockers, and more.",https://www.91springboard.com/,Support Services,Expertise & Community,Providing physical spaces for working and selling,2012,133,India,Delhi,Yes,"Wednesday, 27 October 2021",Series B,29.363.190,Not Complete,TRUE,FALSE,
NeueHouse,"Neuehouse is a platform for small businesses and freelancer to work in a community like environment, it promotes itself as a boutique like office set up. A user can have its own private space or can have a desk at a location. It offers annual membership to its users. The members are curated before they can join the community. Currently it has three location which are New York, Los Angeles and London.",https://www.neuehouse.com/,Support Services,Expertise & Community,Providing physical spaces for working and selling,2012,0,United States,New York City,Yes,"Wednesday, 22 April 2020",Series C,76.155.450,Not Complete,FALSE,FALSE,
Serendipia,"Serendipia is a provider of managed co-working and co-living spaces for entrepreneurs and digital nomads. The company offers dedicated desks, restrooms, bedrooms, and more. The compnay offers community events such as sports activities, YOGA, food, drinks, and more.",https://www.serendipia.life,Support Services,Expertise & Community,Providing physical spaces for working and selling,2016,0,United States,San Francisco,Yes,"Monday, 27 January 2020",Seed,20,Not Complete,FALSE,FALSE,
Velocity Global,0,https://velocityglobal.com,Support Services,Expertise & Community,Other,2014,0,United States,Denver,Yes,"Wednesday, 18 May 2022",Series B,0,Not Complete,TRUE,FALSE,
Witty,0,https://www.witty.works/,Support Services,Expertise & Community,Other,2018,0,Switzerland,Zurich,Yes,"Wednesday, 24 November 2021",Seed,787.334,Not Complete,FALSE,FALSE,
StreamNative,"Cloud based event streaming solutions provider. It offers features such as unified queuing, messaging protocols, time scale management, event streaming management, unified data processing, streaming transformations, bookkeeping, multi tenancy, scalability, and multi cluster replications.",https://streamnative.io,Support Services,Expertise & Community,Other,2018,0,United States,San Francisco,Yes,"Tuesday, 14 September 2021",Series A,23.700.000,Not Complete,FALSE,FALSE,
AudioMob,0,https://audiomob.com,Support Services,Expertise & Community,Other,2020,0,United Kingdom,London,Yes,"Tuesday, 9 November 2021",Series A,16.000.000,Not Complete,FALSE,FALSE,
Leap Services,0,https://www.leapinc.com/,Space Management,Expertise & Community,Building a digital-first storefront for SMEs,2018,0,United States,New York City,Yes,"Thursday, 27 January 2022",Series B,80.469.969,Not Complete,FALSE,TRUE,
Breef,0,https://www.breef.com/,Support Services,Expertise & Community,Other,2019,0,United States,New York City,Yes,"Sunday, 5 September 2021",Series A,4.500.000,Not Complete,FALSE,TRUE,
Aleph,0,https://www.alephholding.com/,Support Services,Expertise & Community,Other,2020,0,United States,Miami,Yes,"Wednesday, 23 February 2022",Series A,470.000.000,Not Complete,FALSE,FALSE,
Adriel,0,https://adriel.com,Support Services,Expertise & Community,Other,2017,0,United States,Newark,Yes,"Tuesday, 8 March 2022",Series B,17.000.000,Not Complete,FALSE,TRUE,
Inflection.io,0,https://www.inflection.io/,Support Services,Expertise & Community,Other,2021,0,United States,Seattle,Yes,"Tuesday, 17 May 2022",Seed,6.300.000,Not Complete,FALSE,FALSE,
Ioconic,0,https://ioconic.io,Support Services,Expertise & Community,Other,2021,0,United Kingdom,London,Yes,"Tuesday, 10 August 2021",Seed,1.500.000,Not Complete,FALSE,FALSE,
Business Butler Swansea,0,https://businessbutlerswansea.com/,Support Services,Expertise & Community,Other,2018,0,United Kingdom,Swansea,Yes,"Monday, 15 June 2020",Seed,0,Not Complete,FALSE,FALSE,
Cooperlink,"Cooperlink offers project and partnership management solutions. It allows users to connect with teams, assign projects and tasks, track deadlines of the project. It enables users to share information and data related to projects with partners and teams. It can be integrated with CustomTool, Sharepoint, Office365, GoogleDrive and Alfresco. It offers a subscription-based pricing model.",https://www.cooperlink.io/,Support Services,Expertise & Community,Other,2017,0,Belgium,Seraing,Yes,"Wednesday, 5 December 2018",Seed,1.250.510,Not Complete,TRUE,FALSE,
Strings,"Cloud-based product copy and workflow management solutions provider. It provides a plugin that automatically checks UX writing. The features include in-app audits, code editing, generation of localization-ready code from Figma text elements, automated word matching, and check, etc.",https://www.strings.design/,Support Services,Expertise & Community,Providing physical spaces for working and selling,2020,0,United States,Remote,Yes,"Tuesday, 2 March 2021",Seed,1.850.000,Not Complete,FALSE,FALSE,
OPTYO,0,https://optyo.net,Support Services,Expertise & Community,Launching and accelerating businesses,2018,0,United States,San Diego,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
Stardust Ventures,0,https://stardustventures.us,Support Services,Expertise & Community,Launching and accelerating businesses,2020,0,United States,Hoboken,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
Datavest Partners,0,https://www.datavestpartners.com/,Support Services,Expertise & Community,Launching and accelerating businesses,2021,0,United States,Fort Lauderdale,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
Gilbert Consulting Group,0,http://gilbertconsult.com,Support Services,Expertise & Community,Launching and accelerating businesses,0,0,United States,Alameda,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
INNORETAIL,0,http://innoretail.vc,Support Services,Expertise & Community,Launching and accelerating businesses,2016,0,Russia,Moscow,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
DROPBEAR,0,https://www.dropbear.vc/,Support Services,Expertise & Community,Launching and accelerating businesses,0,0,Australia,Sydney,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
dotkonnekt,0,https://dotkonnekt.com,Support Services,Expertise & Community,Launching and accelerating businesses,2020,0,United States,0,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
Blazar Elite,0,https://blazarelite.com,Support Services,Expertise & Community,Launching and accelerating businesses,2019,0,Denmark,Copenhagen,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
The Sovereign Business Movement,0,https://digitalsovereignbusiness.com/incubator,Support Services,Expertise & Community,Launching and accelerating businesses,2021,0,Australia,Gold Coast,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
Pitch House,0,https://pitch-house.com,Support Services,Expertise & Community,Launching and accelerating businesses,2019,0,Singapore,Singapore,Yes,"Saturday, 0 January 1900",Unfunded,0,,FALSE,FALSE,
Plentific,"SaaS-driven maintenance management solution. Provides solutions for property owners, managers, housing society, and more. Offers property repair & maintenance management solutions. The product catalog includes work order management, property repair diagnosis, team management & more.",https://www.plentific.com/,Space Management,Space Design & Management​,Managing the formation and operations of a space,2013,69,United Kingdom,London,Yes,"Tuesday, 24 August 2021",Series C,143.614.110,Not Complete,TRUE,FALSE,
75F,"Provider of a cloud platform along with wireless zone controllers to monitor temperature, tracking the energy requirements, among others. It fixes wide temperature imbalances in a typical commercial building. Claims that its module senses the temperature in each room and sends it wirelessly to a Central Control Unit that replaces a standard thermostat. The CCU aggregates the data and sends it to servers in the cloud to predict thermal loads across the building based on historical data and forecast weather. The optimum control strategy is then sent back to the CCU which turns on or off the HVAC equipment and instructs the room modules to modulate the dampers.",https://www.75f.io/,Space Management,Space Design & Mgmt,Other,2012,0,United States,Mankato,Yes,"Thursday, 15 July 2021",Series A,36.253.608,Not Complete,FALSE,FALSE,
Jetty,"Provider of rental insurance and rental deposit services. It works with property managers to increase lease conversion, reduce bad debt, and streamline operations. It offers renters low move-in cost, flexible pricing, and rental insurance to protect things.",https://www.jetty.com/,Space Management,Space Design & Mgmt,Other,2015,0,United States,New York City,Yes,"Sunday, 20 February 2022",Series C,78.000.000,Not Complete,TRUE,FALSE,
Sapient Industries,"Provider of AI-driven energy management system. The system is a combination of smart outlets and smart power strips which run on a cloud-based machine learning platform. The software tools provide building power usage stats, with disaggregation based on devices, and automatically eliminates sources of energy wastage. The hardware products include a cloud-based smart outlet and power strip, which can be controlled via a web application.",https://www.sapient.industries/,Space Management,Space Design & Mgmt,Other,2018,0,United States,Philadelphia,Yes,"Tuesday, 6 April 2021",Series A,21.370.000,Not Complete,FALSE,FALSE,
ComunidadFeliz,ComunidadFeliz provides an online administrative platform for condo administrators and owners to manage their facility operations and finances.,https://www.comunidadfeliz.cl/,Space Management,Space Design & Management​,Managing the formation and operations of a space,2015,0,Chile,Providencia,Yes,"Wednesday, 22 July 2020",Series A,2.000.000,Not Complete,TRUE,FALSE,
cohesion,"Provider of AI, cloud, and app-based asset management software. The features include tenant management, access management, document management, visitor management, maintenance management, vendor management, utility management, and more. Its app is available for Android devices.",https://www.cohesionib.com/,Space Management,Space Design & Management​,Managing the formation and operations of a space,2018,0,United States,Chicago,Yes,"Saturday, 30 December 1899",Series A,30.223.744,Not Complete,FALSE,TRUE,
Block Renovation,"Provider of renovation services for bathrooms & kitchens. Users can describe their project & receive quotes for the design of their choice post the consultation. It also offers an all-in-one package inclusive of raw materials, designs, labor, and architectural designs.",https://www.blockrenovation.com,Space Management,Space Design & Mgmt,Other,2017,0,United States,Brooklyn,Yes,"Tuesday, 9 November 2021",Series C,109.440.599,Not Complete,FALSE,FALSE,
Aptly,"Aptly is a community management software solution based on AI technology. It enables users to create property/resident profiles, collaborate across various maintenance teams, communicate with residents, measure response time, manage leases, track maintenance issues, and more.",https://www.getaptly.com/,Space Management,Space Design & Management​,Managing the formation and operations of a space,2017,0,United States,San Francisco,Yes,"Sunday, 5 January 2020",Series A,5.020.000,Not Complete,TRUE,FALSE,
Hubstairs,"An online platform for home renovation services. The platform enables users to post their project requirements (photos and questions) which in turn provides projection, estimates, ideas, proposals of development, etc and connects architects/designers with tenants/owners. Enables architects/designers to create 3D visual content showcasing home products and their designs.",http://hubstairs.com,Space Management,Space Design & Mgmt,Other,2016,0,France,Paris,Yes,"Saturday, 30 December 1899",Series A,3.503.180,Not Complete,TRUE,FALSE,
The Expert,"Provider of video-based consultation solutions for interior designing. The platform enables users to register, discover experts, book video consultations, and more. Experts can register by providing necessary information online.",https://www.theexpert.com/,Space Management,Space Design & Mgmt,Other,1996,0,United States,0,Yes,"Friday, 18 March 2022",Series A,15.000.000,Not Complete,FALSE,FALSE,
HomeLane,Online platform that provides interior design solutions. Users can interact with the designers either in-store or online to collaboratively finalize the design & get quotes. Users can also visualize plans in 3D via the platform. Users can also browse the design gallery for multiple designs.,https://www.homelane.com/,Space Management,Space Design & Mgmt,Other,2014,1.714,India,Bangalore,Yes,"Saturday, 30 December 1899",Series E,124.984.345,Not Complete,FALSE,TRUE,
Design Cafe,"Design Cafe is an online booking platform for interior design services. Users can browse and select interior designs of homes from various design templates such as modular kitchen designs, wardrobe designs, bedroom designs, living room designs, and more on the platform. Users can book consultations via the platform with design professionals. The company provides tools for users to visualize their homes using virtual reality including customization of the paint color of walls, windows, curtains, and other accessories. The company has partnered with Hettich, REHAU, and Elica among others.",https://www.designcafe.com/,Space Management,Space Design & Mgmt,Other,2015,599,India,Bangalore,Yes,"Tuesday, 1 June 2021",Series B,59.184.710,Not Complete,FALSE,FALSE,
Tastemaker,Tastemaker is a curated community of the interior designers. The company was founded in 2012 in San Francisco. It blends interior design with technology to offer high-quality design at up to 80% less than the cost of a traditional interior decorator.,https://www.tastemaker.com,Support Services,Expertise & Community,Connecting people with shared interests and expertise,2012,0,United States,San Francisco,Yes,"Saturday, 30 December 1899",Seed,2.920.985,Not Complete,FALSE,FALSE,
Atap,"Atap is an online marketplace to find construction professionals. Users can search for architects & interior designers & request quotes to book their services via the platform. Real estate professionals can also create their listings by providing necessary information such as plans, prices, projects, and more.",https://atap.co/malaysia/en,Space Management,Space Design & Management​,Managing the formation and operations of a space,2017,0,Malaysia,Kuala Lumpur,Yes,"Friday, 1 February 2019",Series A,0,Not Complete,FALSE,FALSE,
Furdo,"Provider of interior design platform offering end-to-end services. Users can select a theme and upload their floor plan through the portal. It designs their home and sends a 3D walk-through. Users can also order products required to design their homes through the platform. Also offers implementation support whereupon receiving the products, interior designers come to the place and design their home.",https://www.furdo.com/,Space Management,Space Design & Mgmt,Other,2014,0,India,Bangalore,Yes,"Saturday, 30 December 1899",Seed,400,Not Complete,FALSE,FALSE,
Letsdecco,Provider of online interior decoration service. It provides users with 3D images of their place. Users need to select the style of furniture and budget. It sends the proposal with ready-to-order furniture.,https://letsdecco.com,Space Management,Space Design & Mgmt,Other,2012,0,Spain,Madrid,Yes,"Monday, 19 May 2014",Seed,0,Not Complete,TRUE,FALSE,
Hullabalook,Hullabalook provides tools that help online shoppers find furniture and electronic appliances according to their size and colour requirements. It allows users to set the size and colour filters and then displays goods that fit the users' requirements. Users can also upload pictures to get better color matches and suggestions on the platform.,https://hullabalook.com,Space Management,Space Design & Mgmt,Other,2016,24,United Kingdom,London,Yes,"Saturday, 30 December 1899",Series A,12.528.000,Not Complete,FALSE,FALSE,
Innersense,"InnerSense provides solutions for viewing home improvement products. Users can select from products like sofa and choose specifications like material, color to view in their living room using their smartphones. Menso CONTINUUM allows clients to engage their customers in an interactive shopping experience which has a 3D product configurator, 3D space composer, and AR application. Menso BRIEFCASE mobile sales application enables clients access to 3D models of their product catalog which can also be viewed in augmented reality.",http://innersense.fr,Space Management,Space Design & Mgmt,Other,2014,0,France,Ramonville-saint-agne,Yes,"Tuesday, 6 March 2018",Seed,1.019.578,Not Complete,TRUE,FALSE,
Dabanjia,"Dabanjia is an online platform offering VR design tool and project management tool for interior designers. Designers can drag and drop objects and designs to make VR renderings of the home renovation designs. Also offers workload statistics, project management tools to interior designer firms.",https://dabanjia.com,Space Management,Space Design & Mgmt,Other,2015,0,China,Beijing,Yes,"Tuesday, 18 June 2019",Series A,25.663.796,Not Complete,TRUE,FALSE,
Roomvo,"Roomvo is online virtual visualization software for floors and rugs. The platform enables users to take pictures and showcase the product on to their rooms. The company's clientele includes CFL, Mohawk, and Amorim among others.",https://get.roomvo.com/,Space Management,Space Design & Mgmt,Other,2016,0,Canada,Toronto,Yes,"Tuesday, 21 July 2020",Seed,252.076,Not Complete,FALSE,FALSE,
Aite Rent,"Aite Rent is an online rental platform for office IT equipment. Product catalogue includes office computers, projectors, printers, mobiles & tablets, accessories and others. The company also offers services like enterprise training & development, software customization, and more.",https://www.aiterent.com,Space Management,Furnishings & Appliances​,New services for a new age,2018,0,China,Shanghai,Yes,"Friday, 1 June 2018",Seed,4.361.849,Not Complete,TRUE,FALSE,
